pmcid,file_name,line
6715348,documents_00002.jsonl,10
4488375,documents_00002.jsonl,11
5716095,documents_00002.jsonl,12
3555187,documents_00002.jsonl,13
8443248,documents_00002.jsonl,14
10637045,documents_00002.jsonl,15
8857499,documents_00002.jsonl,16
9261172,documents_00002.jsonl,17
9910278,documents_00002.jsonl,18
5895040,documents_00002.jsonl,19
6969196,documents_00002.jsonl,20
7836234,documents_00002.jsonl,21
4374765,documents_00002.jsonl,22
6981017,documents_00002.jsonl,23
10990450,documents_00002.jsonl,24
6847532,documents_00002.jsonl,25
10031743,documents_00002.jsonl,26
5662713,documents_00002.jsonl,27
7689031,documents_00002.jsonl,28
9189080,documents_00002.jsonl,29
2686646,documents_00002.jsonl,30
8104963,documents_00002.jsonl,31
10318245,documents_00002.jsonl,32
7562935,documents_00002.jsonl,33
9837608,documents_00002.jsonl,34
5662181,documents_00002.jsonl,35
6821801,documents_00002.jsonl,36
4179768,documents_00002.jsonl,37
9729227,documents_00002.jsonl,38
8597975,documents_00002.jsonl,39
6303343,documents_00002.jsonl,40
10147761,documents_00002.jsonl,41
10615837,documents_00002.jsonl,42
4386762,documents_00002.jsonl,43
10028637,documents_00002.jsonl,44
4914983,documents_00002.jsonl,45
6411911,documents_00002.jsonl,46
6137311,documents_00002.jsonl,47
10129386,documents_00002.jsonl,48
6331309,documents_00002.jsonl,49
10791126,documents_00002.jsonl,50
7913329,documents_00002.jsonl,51
6102316,documents_00002.jsonl,52
6699247,documents_00002.jsonl,53
8927597,documents_00002.jsonl,54
5973829,documents_00002.jsonl,55
8342928,documents_00002.jsonl,56
6037859,documents_00002.jsonl,57
6831914,documents_00002.jsonl,58
6970153,documents_00002.jsonl,59
9949505,documents_00002.jsonl,60
6463125,documents_00002.jsonl,61
4398371,documents_00002.jsonl,62
3825257,documents_00002.jsonl,63
7235961,documents_00002.jsonl,64
8764488,documents_00002.jsonl,65
6391069,documents_00002.jsonl,66
10458690,documents_00002.jsonl,67
6969350,documents_00002.jsonl,68
10656574,documents_00002.jsonl,69
4526228,documents_00002.jsonl,70
4517759,documents_00002.jsonl,71
6397754,documents_00002.jsonl,72
